hoy,battery_soc_r2_gwh_target,battery_soc_r5_gwh_target,battery_soc_r6_gwh_target,h2_inventory_gwh_target,climatology_eue_gwh
208,25.091301939058145,44.828587257617734,26.42664819944591,590.9732252631579,0.0
209,25.091301939058145,44.828587257617734,26.42664819944591,585.9732252631579,0.0
210,25.091301939058145,42.87551246537397,26.42664819944591,580.9732252631579,0.0
211,25.091301939058145,42.87551246537397,26.42664819944591,575.9732252631579,0.0
212,25.091301939058145,42.87551246537397,26.42664819944591,570.9732252631579,0.0
213,25.091301939058145,42.87551246537397,26.42664819944591,565.9732252631579,0.0
214,25.091301939058145,42.87551246537397,26.42664819944591,561.0940336842106,0.0
215,25.091301939058145,42.87551246537397,26.42664819944591,562.6608884210526,0.0
216,25.091301939058145,42.87551246537397,26.42664819944591,557.6608884210526,0.0
217,25.091301939058145,42.87551246537397,26.42664819944591,570.0879957894737,0.0
218,25.091301939058145,42.87551246537397,26.42664819944591,582.1219452631578,0.0
219,25.091301939058145,42.87551246537397,26.42664819944591,580.8562442105263,0.0
220,25.091301939058145,42.87551246537397,26.42664819944591,592.2805431578946,0.0
221,25.091301939058145,42.87551246537397,26.42664819944591,587.2805431578946,0.0
222,25.091301939058145,42.87551246537397,26.42664819944591,582.2805431578946,0.0
223,25.091301939058145,42.87551246537397,26.42664819944591,577.2805431578946,0.0
224,25.091301939058145,42.87551246537397,26.42664819944591,572.2805431578946,0.0
225,25.091301939058145,42.87551246537397,26.42664819944591,567.2805431578946,0.0
226,25.091301939058145,42.87551246537397,26.42664819944591,562.2805431578946,0.0
227,25.091301939058145,42.87551246537397,26.42664819944591,557.7701810526314,0.0
228,25.091301939058145,42.87551246537397,26.42664819944591,552.7701810526314,0.0
229,25.091301939058145,42.87551246537397,26.42664819944591,552.3128884210524,0.0
230,25.091301939058145,42.87551246537397,26.42664819944591,549.8542231578945,0.0
231,25.091301939058145,42.87551246537397,26.42664819944591,544.8542231578945,0.0
232,25.091301939058145,42.87551246537397,26.42664819944591,539.8542231578945,0.0
233,25.091301939058145,42.87551246537397,26.42664819944591,534.8542231578945,0.0
234,25.091301939058145,42.87551246537397,26.42664819944591,529.8542231578945,0.0
235,25.091301939058145,42.87551246537397,26.42664819944591,524.8542231578945,0.0
236,25.091301939058145,42.87551246537397,26.42664819944591,534.4441136842103,0.0
237,25.091301939058145,42.87551246537397,26.42664819944591,544.082736842105,0.0
238,25.091301939058145,42.87551246537397,26.42664819944591,539.082736842105,0.0
239,25.091301939058145,42.87551246537397,26.42664819944591,544.7890610526313,0.0
240,25.091301939058145,42.87551246537397,26.42664819944591,539.7890610526313,0.0
241,25.091301939058145,42.87551246537397,26.42664819944591,556.3890610526313,0.0
242,25.091301939058145,42.87551246537397,26.42664819944591,572.9890610526313,0.0
243,25.091301939058145,42.87551246537397,26.42664819944591,587.5387663157892,0.0
244,25.091301939058145,42.87551246537397,26.42664819944591,585.5658357894733,0.0
245,25.091301939058145,42.87551246537397,26.42664819944591,602.1658357894734,0.0
246,25.091301939058145,42.87551246537397,26.42664819944591,597.9006905263154,0.0
247,25.091301939058145,42.87551246537397,26.42664819944591,592.9006905263154,0.0
248,25.091301939058145,42.87551246537397,26.42664819944591,587.9006905263154,0.0
249,25.091301939058145,42.87551246537397,26.42664819944591,582.9006905263154,0.0
250,25.091301939058145,42.87551246537397,26.42664819944591,577.9006905263154,0.0
