storage_capex_eur_per_kwh,reconversion_capex_eur_per_kw,annualized_cost_meur,breakeven_reliability_value_eur_per_mwh
10.0,650.0,1691.2484693444458,10588.498309593131
10.0,700.0,1756.0472719777792,10994.187967016835
10.0,750.0,1820.8460746111125,11399.877624440538
10.0,800.0,1885.6448772444458,11805.56728186424
10.0,850.0,1950.4436798777795,12211.256939287943
10.0,900.0,2015.2424825111127,12616.946596711645
10.0,950.0,2080.0412851444457,13022.636254135346
10.0,1000.0,2144.8400877777794,13428.32591155905
11.0,250.0,1257.7444517888898,7874.4343265120115
11.0,300.0,1322.5432544222233,8280.123983935715
11.0,350.0,1387.3420570555568,8685.813641359417
11.0,400.0,1452.14085968889,9091.503298783118
11.0,450.0,1516.9396623222235,9497.192956206822
11.0,500.0,1581.7384649555568,9902.882613630525
11.0,550.0,1646.53726758889,10308.572271054227
11.0,600.0,1711.3360702222237,10714.26192847793
11.0,650.0,1776.134872855557,11119.951585901632
11.0,700.0,1840.9336754888905,11525.641243325335
11.0,750.0,1905.732478122224,11931.330900749037
11.0,800.0,1970.531280755557,12337.020558172739
11.0,850.0,2035.3300833888907,12742.710215596444
11.0,900.0,2100.128886022224,13148.399873020146
11.0,950.0,2164.927688655557,13554.089530443847
11.0,1000.0,2229.726491288891,13959.77918786755
12.0,250.0,1342.6308553000013,8405.887602820512
12.0,300.0,1407.4296579333343,8811.577260244214
12.0,350.0,1472.2284605666678,9217.266917667916
12.0,400.0,1537.0272632000012,9622.956575091619
12.0,450.0,1601.8260658333345,10028.64623251532
12.0,500.0,1666.6248684666682,10434.335889939024
12.0,550.0,1731.4236711000012,10840.025547362726
12.0,600.0,1796.2224737333347,11245.71520478643
12.0,650.0,1861.0212763666682,11651.404862210133
12.0,700.0,1925.8200790000014,12057.094519633834
12.0,750.0,1990.618881633335,12462.784177057536
12.0,800.0,2055.4176842666684,12868.47383448124
12.0,850.0,2120.2164869000017,13274.163491904943
12.0,900.0,2185.015289533335,13679.853149328643
12.0,950.0,2249.8140921666686,14085.542806752346
12.0,1000.0,2314.6128948000023,14491.232464176052
13.0,250.0,1427.5172588111125,8937.340879129013
13.0,300.0,1492.3160614444457,9343.030536552713
13.0,350.0,1557.114864077779,9748.720193976416
13.0,400.0,1621.9136667111125,10154.40985140012
13.0,450.0,1686.7124693444457,10560.099508823821
13.0,500.0,1751.5112719777794,10965.789166247525
13.0,550.0,1816.3100746111127,11371.478823671227
13.0,600.0,1881.1088772444461,11777.16848109493
13.0,650.0,1945.9076798777794,12182.858138518633
13.0,700.0,2010.7064825111127,12588.547795942333
13.0,750.0,2075.505285144446,12994.237453366037
13.0,800.0,2140.3040877777794,13399.92711078974
13.0,850.0,2205.1028904111126,13805.616768213442
13.0,900.0,2269.901693044446,14211.306425637144
13.0,950.0,2334.7004956777796,14616.996083060847
13.0,1000.0,2399.4992983111133,15022.685740484552
